category,claim_short_id,acord_path,police_path,loss_path,rc_path,dl_path,hospital_path,damage_difference,injury_mismatch,date_difference_days,location_match,vehicle_match,rc_match,dl_match,patient_match,hospital_match,fraud_inconsistency_score,severity_level,complexity_score
accident,CLM-2025-0001,C:\claims_agent\ClaimWise\ml\dataset\accident\accord_form_100\CLM-2025-0001-ACC_SAFE_acord.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\police_reports_100\PR-10001-ACC_CLM-2025-0001-ACC_SAFE_police.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\loss_reports_100\CLM-2025-0001-ACC_SAFE_loss.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\rc_documents_100\CLM-2025-0001-ACC_SAFE_rc.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\dl_documents_100\CLM-2025-0001-ACC_SAFE_dl.pdf,,0.0308,0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0462,Low,1.0
accident,CLM-2025-0002,C:\claims_agent\ClaimWise\ml\dataset\accident\accord_form_100\CLM-2025-0002-ACC_SAFE_acord.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\police_reports_100\PR-10002-ACC_CLM-2025-0002-ACC_SAFE_police.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\loss_reports_100\CLM-2025-0002-ACC_SAFE_loss.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\rc_documents_100\CLM-2025-0002-ACC_SAFE_rc.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\dl_documents_100\CLM-2025-0002-ACC_SAFE_dl.pdf,,0.0213,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0043,Low,1.0
accident,CLM-2025-0003,C:\claims_agent\ClaimWise\ml\dataset\accident\accord_form_100\CLM-2025-0003-ACC_SAFE_acord.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\police_reports_100\PR-10003-ACC_CLM-2025-0003-ACC_SAFE_police.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\loss_reports_100\CLM-2025-0003-ACC_SAFE_loss.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\rc_documents_100\CLM-2025-0003-ACC_SAFE_rc.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\dl_documents_100\CLM-2025-0003-ACC_SAFE_dl.pdf,,0.0451,0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.049,Low,1.0
accident,CLM-2025-0004,C:\claims_agent\ClaimWise\ml\dataset\accident\accord_form_100\CLM-2025-0004-ACC_SAFE_acord.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\police_reports_100\PR-10004-ACC_CLM-2025-0004-ACC_SAFE_police.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\loss_reports_100\CLM-2025-0004-ACC_SAFE_loss.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\rc_documents_100\CLM-2025-0004-ACC_SAFE_rc.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\dl_documents_100\CLM-2025-0004-ACC_SAFE_dl.pdf,,0.0448,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.009,Low,1.0
accident,CLM-2025-0005,C:\claims_agent\ClaimWise\ml\dataset\accident\accord_form_100\CLM-2025-0005-ACC_SAFE_acord.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\police_reports_100\PR-10005-ACC_CLM-2025-0005-ACC_SAFE_police.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\loss_reports_100\CLM-2025-0005-ACC_SAFE_loss.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\rc_documents_100\CLM-2025-0005-ACC_SAFE_rc.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\dl_documents_100\CLM-2025-0005-ACC_SAFE_dl.pdf,,0.0284,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0057,Low,1.0
accident,CLM-2025-0006,C:\claims_agent\ClaimWise\ml\dataset\accident\accord_form_100\CLM-2025-0006-ACC_SAFE_acord.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\police_reports_100\PR-10006-ACC_CLM-2025-0006-ACC_SAFE_police.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\loss_reports_100\CLM-2025-0006-ACC_SAFE_loss.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\rc_documents_100\CLM-2025-0006-ACC_SAFE_rc.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\dl_documents_100\CLM-2025-0006-ACC_SAFE_dl.pdf,,0.0214,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0043,Low,1.0
accident,CLM-2025-0007,C:\claims_agent\ClaimWise\ml\dataset\accident\accord_form_100\CLM-2025-0007-ACC_SAFE_acord.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\police_reports_100\PR-10007-ACC_CLM-2025-0007-ACC_SAFE_police.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\loss_reports_100\CLM-2025-0007-ACC_SAFE_loss.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\rc_documents_100\CLM-2025-0007-ACC_SAFE_rc.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\dl_documents_100\CLM-2025-0007-ACC_SAFE_dl.pdf,,0.0158,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0032,Low,1.0
accident,CLM-2025-0008,C:\claims_agent\ClaimWise\ml\dataset\accident\accord_form_100\CLM-2025-0008-ACC_SAFE_acord.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\police_reports_100\PR-10008-ACC_CLM-2025-0008-ACC_SAFE_police.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\loss_reports_100\CLM-2025-0008-ACC_SAFE_loss.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\rc_documents_100\CLM-2025-0008-ACC_SAFE_rc.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\dl_documents_100\CLM-2025-0008-ACC_SAFE_dl.pdf,,0.0429,0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0486,Low,1.0
accident,CLM-2025-0009,C:\claims_agent\ClaimWise\ml\dataset\accident\accord_form_100\CLM-2025-0009-ACC_SAFE_acord.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\police_reports_100\PR-10009-ACC_CLM-2025-0009-ACC_SAFE_police.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\loss_reports_100\CLM-2025-0009-ACC_SAFE_loss.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\rc_documents_100\CLM-2025-0009-ACC_SAFE_rc.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\dl_documents_100\CLM-2025-0009-ACC_SAFE_dl.pdf,,0.0279,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0056,Low,1.0
accident,CLM-2025-0010,C:\claims_agent\ClaimWise\ml\dataset\accident\accord_form_100\CLM-2025-0010-ACC_SAFE_acord.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\police_reports_100\PR-10010-ACC_CLM-2025-0010-ACC_SAFE_police.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\loss_reports_100\CLM-2025-0010-ACC_SAFE_loss.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\rc_documents_100\CLM-2025-0010-ACC_SAFE_rc.pdf,C:\claims_agent\ClaimWise\ml\dataset\accident\dl_documents_100\CLM-2025-0010-ACC_SAFE_dl.pdf,,0.006,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0012,Low,1.0
